"sale","lot","position","dealer","year","origin_author","origin_cat","school_pntg","diff_origin","logprice","price","count","subject","authorstandard","artistliving","authorstyle","author","winningbidder","winningbiddertype","endbuyer","Interm","type_intermed","Height_in","Width_in","Surface_Rect","Diam_in","Surface_Rnd","Shape","Surface","material","mat","materialCat","nfigures","engraved","original","prevcoll","othartist","paired","figures","finished","lrgfont","relig","landsALL","lands_sc","lands_elem","lands_figs","lands_ment","arch","mytho","peasant","othgenre","singlefig","portrait","still_life","discauth","history","allegory","pastorale","other"
"R1776",226,0.682779456,"R",1776,"F","F","F",0,5.525452939,"251.0",1,"Trois figures (gravé comme Le berger indécis)","Lancret, Nicolas",0,"n/a","Nicolas Lancret","Rémy, Pierre","E","E",0,"",13,10.5,136.5,NA,NA,"squ_rect",136.5,"bois","b","wood",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"R1777",112,0.47257384,"R",1777,"D/FL","D/FL","D/FL",0,8.29404964,"4,000.0",1,"Paysage, chaumiere, vache","Potter (Pa), Paulus",0,"n/a","Paul Potter","Donjeux, Vincent for Hersant Destouches, Alexandre-Louis","DC","C",1,"D",12,10,120,NA,NA,"squ_rect",120,"bois","b","wood",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",49,0.15408805,"R",1767,"I","I","I",0,1.791759469,"6.0",1,"Un sujet composé de plusieurs figures.","Tintoretto (J), Jacopo",0,"n/a","Jacques Robusti, dit Le Tintoret","Rigaud, Hyacinthe","C","C",0,"",25,36,900,NA,NA,"squ_rect",900,"toile","t","canvas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"R1769",51,0.86440678,"R",1769,"D/FL","D/FL","D/FL",0,8.699514748,"6,000.0",1,"Enfants, osselets, arcade et bas relief","Werff, Adriaen van der",0,"n/a","Adrien Vander Werf","Boileau, Nicolas-François-Jacques for Gramont, duchesse de","DC","C",1,"D",11.25,8.75,98.4375,NA,NA,"squ_rect",98.4375,"bois","b","wood",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"R1764",171,0.34063745,"R",1764,"X","X","D/FL",1,1.945910149,"7.0",1,"Un Paysage avec Figures & Animaux","in the taste of Bril (P), Paul",0,"in the taste of","dans le goût de Paul Brill","Unknown","","",NA,"",34,50,1700,NA,0,"squ_rect",1700,"toile","t","canvas",0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",126,0.396226415,"R",1767,"D/FL","D/FL","D/FL",0,5.480638923,"240.0",1,"Un Hareng sec sur une assiete, des Grenades ou Crevetes, du Raisins, des Cerises, du Pain; & deux différens verres posés sur une table couverte d'un tapis","Heem (JD), Jan Davidszoon de",0,"n/a","Jean David de Heem","Montullé, Jean-Baptiste-François de","C","C",0,"",12,18,216,NA,NA,"squ_rect",216,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P1775",61,0.813333333,"P",1775,"F","F","F",0,3.349904087,"28.5",1,"(2) Des sujets de la Fable ; l'une est une invocation au Dieu Pan, l'autre une présentation à l'Amour.","Lefebvre Family; Martin",0,"n/a","Le Fevre et Martin","Dubois","D","D",0,"",16,12,192,NA,NA,"ovale",192,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1765",31,0.508196721,"R",1765,"F","F","F",0,5.300814247,"200.5",1,"(2) La Naissance de Vénus : & Diane qui se dispose à entrer dans le bain","Coypel, Noël Nicolas",0,"n/a","Noel Nicolas Coypel","Unknown","","",NA,"",30,23,690,NA,NA,"squ_rect",690,"toile","t","canvas",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1764",13,0.025896414,"R",1764,"I","I","I",0,5.774551546,"322.0",1,"Notre Seigneur succombant sous le poids de la Croix, deux hommes la soulevent; Ste Véronique à genoux, tient le mouchoir sur lequel est empreinte la Face du Sauveur: on voit à droite un homme à cheval, & la tête d'un autre qui est derriere lui avec un drapeau.","Sacchi, Andrea",0,"n/a","André Oche, ou André Sacchi","Pasquier, Louis-François","C","C",0,"",16.5,12,198,NA,NA,"squ_rect",198,"toile","t","canvas",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1766",37,0.560606061,"R",1766,"D/FL","D/FL","D/FL",0,4.564348191,"96.0",1,"Paysage avec Figures & Animaux","Romeijn, Willem",0,"n/a","Van Romyn","Donjeux, Vincent","D","D",0,"",12,14.5,174,NA,NA,"squ_rect",174,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1764",61,1,"L",1764,"X","X","X",1,2.456736059,"11.7",1,"(24) différens Sujets, Batailles, Flamands, Dévotion, Histoires, Paysages","Anonymous",0,"n/a","différens Maîtres","Unknown","","",NA,"",NA,NA,NA,NA,NA,"squ_rect",NA,"n/a","n/a","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",164,0.51572327,"R",1767,"D/FL","D/FL","D/FL",0,7.057036982,"1,161.0",1,"Un Peintre qui dessine, à la lumiere d'une lampe, d'après un enfant, de ronde bosse","Dou, Gerrit",0,"n/a","Gerard Dov","Horion","D","D",0,"",13.5,10.25,138.375,NA,NA,"squ_rect",138.375,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"L1778",48,0.761904762,"L",1778,"F","F","F",0,5.886104031,"360.0",1,"Amours endormis","Boucher (F), François",0,"n/a","François Boucher","Langlier, Jacques","D","D",0,"",37,32,1184,NA,NA,"squ_rect",1184,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P1780",7,0.052238806,"P",1780,"D/FL","D/FL","F",1,3.555348061,"35.0",1,"Un Combat au Pistolet entre deux Cavaliers","Meulen, Adam Frans van der",0,"n/a","Vander Meulen","Jaufret, Jacques","U","U",0,"",5,7,35,NA,NA,"squ_rect",35,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"R1767",61,0.191823899,"R",1767,"D/FL","D/FL","I",1,3.941581808,"51.5",1,"(2) Deux autres Vues: l'une le Pont & Château Saint Ange; l'autre la colonne Trajanne.","Wittel, Gaspar van",0,"n/a","Gasparo Van Vitelle","Montullé, Jean-Baptiste-François de","C","C",0,"",NA,NA,NA,NA,NA,"",NA,"","","",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"J1777",31,0.645833333,"J",1777,"F","F","F",0,5.192956851,"180.0",1,"Saint Pierre délivré de prison","Loo (Ca), Carle van",0,"n/a","C. Vanloo","Joullain Family","E","E",0,"",19,14,266,NA,NA,"squ_rect",266,"toile","t","canvas",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1775",32,0.426666667,"P",1775,"D/FL","D/FL","D/FL",0,2.525728644,"12.5",1,"(2) Des paysages avec quelques figures & animau","attributed to Berchem, Nicolaes Pieterszoon",0,"attributed to","attribué à Berghem","Hazé","D","D",0,"",14,17,238,NA,NA,"squ_rect",238,"toile","t","canvas",0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"R1773",26,0.456140351,"R",1773,"D/FL","D/FL","D/FL",0,5.347107531,"210.0",1,"Un paysage dans lequel on remarque le haut d'une chaumiere, un pont de bois & un homme qui conduit des moutons","Ruisdael, Jacob van",0,"n/a","Jacques Ruysdaal","Resler","U","U",0,"",20,24,480,NA,NA,"squ_rect",480,"toile","t","canvas",0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1768",76,0.737864078,"J",1768,"F","F","F",0,3.33220451,"28.0",1,"Jesus-Christ en croix","Revel, Gabriel",0,"n/a","Ruel","Chiquet de Champs-Renard","C","C",0,"",38,27,1026,NA,NA,"squ_rect",1026,"toile","t","canvas",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1770",27,0.2109375,"R",1770,"F","F","F",0,3.218875825,"25.0",1,"(2) village, patineurs","Callot, Jacques",0,"n/a","Jacques Callot","Unknown","","",NA,"",8,16.5,132,NA,NA,"squ_rect",132,"toile","t","canvas",0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"L1780",8,0.242424242,"L",1780,"D/FL","D/FL","D/FL",0,3.401197382,"30.0",1,"Portrait d'Henri IV d'apres Porbus","Bout, Pieter; Boudewijns, Adriaen Frans",0,"n/a","Both et Baudouin","Unknown","","",NA,"",14,9,126,NA,NA,"squ_rect",126,"n/a","n/a","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"L1774",114,0.850746269,"R",1774,"F","F","F",0,2.48490665,"12.0",1,"(2) Achile et Déidamie; Apollon &Issée","Jouffroy (P), Pierre",1,"n/a","Jouffroy","Dubois","D","D",0,"",8.75,7,61.25,NA,NA,"squ_rect",61.25,"verre","v","other",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"R1767",281,0.883647799,"R",1767,"F","F","F",0,4.051784948,"57.5",1,"(2) Deux femmes en pendans","Natoire, Jeanne",1,"n/a","Mademoiselle Natoire","Albertas, Henri Reynaud d'","C","C",0,"",NA,NA,NA,NA,NA,"",NA,"","","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"J1768",38,0.368932039,"J",1768,"D/FL","D/FL","D/FL",0,3.610917913,"37.0",1,"(2) Paysages ","Both (J), Jan; Both (A), Andries",0,"n/a","Jean & Henri Both","Unknown","","",NA,"",9.5,12,114,NA,NA,"squ_rect",114,"toile","t","canvas",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1768",40,0.196078431,"L",1768,"F","F","F",1,2.302585093,"10.0",1,"(14) tableaux Paysages te figures","Patel I, Pierre",0,"n/a","Patel","Unknown","","",NA,"",18,31,558,NA,NA,"squ_rect",558,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1777",28,0.11814346,"R",1777,"D/FL","D/FL","D/FL",0,9.210340372,"10,000.0",1,"Adoration des Rois","Rubens, Peter Paul",0,"n/a","Pierre Paul Rubens","Millon d'Ainval","C","C",0,"",90,114,10260,NA,NA,"squ_rect",10260,"toile","t","canvas",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1780",33,0.246268657,"P",1780,"F","F","F",0,6.856461985,"950.0",1,"Vue de la Foire de Guibray","Le Paon, Jean Baptiste",1,"n/a","Le Paon","Paillet, Alexandre-Joseph","E","E",0,"",36,60,2160,NA,NA,"squ_rect",2160,"toile","t","canvas",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1774",132,0.985074627,"R",1774,"X","X","X",1,2.890371758,"18.0",1,"Jeune femme turque","Anonymous",0,"n/a","not specified","Siroy","U","U",0,"",9,12,108,NA,NA,"squ_rect",108,"n/a","n/a","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"R1776",307,0.927492447,"R",1776,"D/FL","D/FL","D/FL",1,4.248495242,"70.0",1,"Village sur un bord de riviere","Gysels, Pieter",0,"n/a","Pierre Gysen","Brisson","U","U",0,"",10,13,130,NA,NA,"squ_rect",130,"cuivre","c","copper",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1773",53,0.929824561,"R",1773,"I","I","D/FL",1,3.17805383,"24.0",1,"Un Grouppe de sept figures, dont un Marchand de liqueurs proche d'une maison ; des édifices de Rome s'apperçoivent dans l'éloignement.","Cerquozzi, Michelangelo",0,"n/a","Michel-Ange des Batailles","Dulac, Antoine-Charles","D","D",0,"",13,16,208,NA,NA,"squ_rect",208,"toile","t","canvas",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"R1767",61,0.191823899,"R",1767,"D/FL","D/FL","I",1,3.941581808,"51.5",1,"(2) Deux autres Vues: l'une le Pont & Château Saint Ange; l'autre la colonne Trajanne.","Wittel, Gaspar van",0,"n/a","Gasparo Van Vitelle","Montullé, Jean-Baptiste-François de","C","C",0,"",NA,NA,NA,NA,NA,"",NA,"","","",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"R1765",49,0.803278689,"R",1765,"X","X","X",1,2.463853241,"11.8",1,"(4) Quatre autres : trois représentent des Paysages avec Figure","Anonymous",0,"n/a","not specified","Villette, Charles Michel, marquis de","C","C",0,"",6.5,10.25,66.625,NA,NA,"squ_rect",66.625,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1778b",115,0.761589404,"L",1778,"F","F","F",0,3.17805383,"24.0",1,"L'Apotheose de Saint Gregoire","Loo (Ca), Carle van",0,"n/a","Carle Vanloo","Unknown","","",NA,"",NA,NA,NA,22,379.94,"round",379.94,"toile","t","canvas",5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1764",61,1,"L",1764,"X","X","X",1,2.456736059,"11.7",1,"(24) différens Sujets, Batailles, Flamands, Dévotion, Histoires, Paysages","Anonymous",0,"n/a","différens Maîtres","Unknown","","",NA,"",NA,NA,NA,NA,NA,"squ_rect",NA,"n/a","n/a","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J1768",83,0.805825243,"J",1768,"F","F","F",0,1.386294361,"4.0",1,"La Visitation","La Fosse, Charles de",0,"n/a","Ch. De la Fosse","Unknown","","",NA,"",12,9,108,NA,NA,"squ_rect",108,"toile","t","canvas",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1774",101,0.753731343,"R",1774,"F","F","F",0,6.504288174,"668.0",1,"Sacrifice à Vénus","Lagrenée the Younger, Jean-Jacques",1,"n/a","M. de Lagrenée, le jeune","Rémy, Pierre","E","E",0,"",17,13,221,NA,NA,"squ_rect",221,"bois","b","wood",6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"L1768",40,0.196078431,"L",1768,"F","F","F",1,2.302585093,"10.0",1,"(14) tableaux Paysages te figures","Patel I, Pierre",0,"n/a","Patel","Unknown","","",NA,"",18,31,558,NA,NA,"squ_rect",558,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",161,0.506289308,"R",1767,"D/FL","D/FL","D/FL",0,3.912023005,"50.0",1,"Un Paysage avec figures","Arthois, Jacques d'",0,"n/a","Jacques van Artois","Besse, Claude-Guillaume de","C","C",0,"",15.5,18.75,290.625,NA,NA,"squ_rect",290.625,"bois","b","wood",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",297,0.897280967,"R",1776,"D/FL","D/FL","D/FL",1,5.402677382,"222.0",1,"une femme, un homme","Carré, Michiel",0,"n/a","Carré, maitre de Berghem","Unknown","","",NA,"",15,17.5,262.5,NA,NA,"squ_rect",262.5,"manque","n/a","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"R1777",19,0.080168776,"R",1777,"S","S","I",1,7.313220387,"1,500.0",1,"Garçon et fille  PENDANTS","Murillo, Bartolomé Esteban",0,"n/a","Murillo","Paillet, Alexandre-Joseph","D","D",0,"",19,14.5,275.5,NA,NA,"squ_rect",275.5,"toile","t","canvas",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"L1764",61,1,"L",1764,"X","X","X",1,2.456736059,"11.7",1,"(24) différens Sujets, Batailles, Flamands, Dévotion, Histoires, Paysages","Anonymous",0,"n/a","différens Maîtres","Unknown","","",NA,"",NA,NA,NA,NA,NA,"squ_rect",NA,"n/a","n/a","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1768",86,0.421568627,"L",1768,"D/FL","D/FL","D/FL",1,3.401197382,"30.0",1,"Vases et figures antiques","Cabel, Adriaan van der",0,"n/a","Wandercabel","Unknown","","",NA,"",43,60,2580,NA,NA,"squ_rect",2580,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",199,0.625786164,"R",1767,"D/FL","D/FL","D/FL",0,7.824046011,"2,500.0",1,"S. Jérome en méditation","Werff, Adriaen van der",0,"n/a","Adrien Vander Werf","Mettra, Louis-François (II) for Friedrich II, King of Prussia","BC","C",1,"B",16.75,14,234.5,NA,NA,"squ_rect",234.5,"bois","b","wood",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"R1777",186,0.784810127,"R",1777,"F","F","F",0,8.699514748,"6,000.0",1,"Mariage de la Vierge","Loo (Ca), Carle van",0,"n/a","Carle Vanloo","Langlier, Jacques for Poullain, Antoine","DC","C",1,"D",22,32,704,NA,NA,"squ_rect",704,"toile cintrée","t","canvas",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1773",45,0.789473684,"R",1773,"G","G","D/FL",1,6.802394763,"900.0",1,"Une Fête de Village. On y voit des gens à table, d'autres qui dansent au son d'une vielle & d'une musette ; les grouppes de figures qui composent ce sujet & qui sont sur différents plans, sont intéressants & amusants ; les fonds sont richement ornés de maisons ; on trouve beaucoup d'expression, une touche grasse & savante & des effets bien entendus","Lingelbach, Johannes",0,"n/a","Lingelbagh","Lebrun, Jean-Baptiste-Pierre","D","D",0,"",31,50,1550,NA,NA,"squ_rect",1550,"toile","t","canvas",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"R1773",38,0.666666667,"R",1773,"D/FL","D/FL","D/FL",0,3.761200116,"43.0",1,"La vue d'une tour & de plusieurs montagnes au bord de la mer ; des figures se voient sur un terrein qui est sur le premier plan de ce tableau.","Wyck, Thomas",0,"n/a","Thomas Wick","Lebrun, Jean-Baptiste-Pierre","D","D",0,"",13,17,221,NA,NA,"squ_rect",221,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1771",125,0.730994152,"R",1771,"I","I","I",1,3.17805383,"24.0",1,"Sainte Famille dans un paysage","Tiarini, Alessandro",0,"n/a","Tiarini","Leger","U","U",0,"",24,18.5,444,NA,NA,"squ_rect",444,"toile","t","canvas",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1765",55,0.901639344,"R",1765,"D/FL","D/FL","D/FL",1,4.605170186,"100.0",1,"Un Paysage, des Fabriques & une Riviere","Bril (P), Paul",0,"n/a","Paul Bril","Unknown","","",NA,"",18,27,486,NA,NA,"squ_rect",486,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1765",27,0.442622951,"R",1765,"D/FL","D/FL","D/FL",0,4.094344562,"60.0",1,"Une Bataille où l'on voit des Turcs, des Hussards & autres Troupes","Bloemen, Pieter van",0,"n/a","Pierre van Bloemen","Unknown","","",NA,"",20.5,31,635.5,NA,NA,"squ_rect",635.5,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"L1768",40,0.196078431,"L",1768,"F","F","F",1,2.302585093,"10.0",1,"(14) tableaux Paysages te figures","Patel I, Pierre",0,"n/a","Patel","Unknown","","",NA,"",18,31,558,NA,NA,"squ_rect",558,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1767",290,0.911949686,"R",1767,"F","F","F",0,4.094344562,"60.0",1,"(2) Le Buste d'un jeune homme & celui d'une fille","Loir, Alexis",0,"n/a","M. Loir","Naux, de","U","U",0,"",14.5,11.25,163.125,NA,NA,"squ_rect",163.125,"pastel","p","other",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"R1776",261,0.788519637,"R",1776,"F","F","F",0,7.825644732,"2,504.0",1,"Grappe de Raisin","Prévost the Elder, Jean Jacques",1,"n/a","M. Prevost l'aîné","Colignon","D","D",0,"",11,9,99,NA,NA,"squ_rect",99,"toile","t","canvas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"R1776",47,0.141993958,"R",1776,"D/FL","D/FL","D/FL",0,4.248495242,"70.0",1,"(2) Paysages avec figures","Stalbemt, Adriaen van",0,"n/a","Adrien Stalbemt","Dubois","D","D",0,"",6,9,54,NA,NA,"squ_rect",54,"cuivre","c","copper",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1764",140,0.278884462,"R",1764,"F","F","F",0,5.013963084,"150.5",1,"(2) Deux Tableaux; l'un représente Notre Seigneur au jardin des oliviers, & l'autre Notre Seigneur sur le Thabor.","Restout II, Jean",0,"n/a","Jean Restout","Rémy, Pierre","E","E",0,"",29,24,696,NA,0,"squ_rect",696,"toile","t","canvas",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R1776",146,0.441087613,"R",1776,"D/FL","D/FL","D/FL",0,6.194405391,"490.0",1,"(2) Mer calme / Mer agitée","Bakhuizen, Ludolf; Velde II (W), Willem van de",0,"n/a","Ludolf Bakhuisen & Guillaume Vande-Veld","Quenet","D","D",0,"",13,16.25,211.25,NA,NA,"squ_rect",211.25,"bois","b","wood",0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
